timestamp,generation_kw
2025-06-20 13:30:00+00:00,10036300.0
2025-06-20 13:00:00+00:00,10410100.0
2025-06-20 12:30:00+00:00,9806400.0
2025-06-20 12:00:00+00:00,10037000.0
2025-06-20 11:30:00+00:00,10236700.0
2025-06-20 11:00:00+00:00,9647030.0
2025-06-20 10:30:00+00:00,8632790.0
2025-06-20 10:00:00+00:00,8478910.0
2025-06-20 09:30:00+00:00,7518610.0
2025-06-20 09:00:00+00:00,6754000.0
2025-06-20 08:30:00+00:00,5803630.0
2025-06-20 08:00:00+00:00,5033670.0
2025-06-20 07:30:00+00:00,4145300.0
2025-06-20 07:00:00+00:00,3160090.0
2025-06-20 06:30:00+00:00,2454610.0
2025-06-20 06:00:00+00:00,1763120.0
2025-06-20 05:30:00+00:00,1119860.0
2025-06-20 05:00:00+00:00,543484.0
2025-06-20 04:30:00+00:00,127137.0
2025-06-20 04:00:00+00:00,941.16
2025-06-20 03:30:00+00:00,0.0
2025-06-20 03:00:00+00:00,0.0
2025-06-20 02:30:00+00:00,0.0
2025-06-20 02:00:00+00:00,0.0
2025-06-20 01:30:00+00:00,0.0
2025-06-20 01:00:00+00:00,0.0
2025-06-20 00:30:00+00:00,0.0
2025-06-20 00:00:00+00:00,0.0
2025-06-19 23:30:00+00:00,0.0
2025-06-19 23:00:00+00:00,0.0
2025-06-19 22:30:00+00:00,0.0
2025-06-19 22:00:00+00:00,0.0
2025-06-19 21:30:00+00:00,0.0
2025-06-19 21:00:00+00:00,0.0
2025-06-19 20:30:00+00:00,27090.3
2025-06-19 20:00:00+00:00,243425.0
2025-06-19 19:30:00+00:00,696223.0
2025-06-19 19:00:00+00:00,1304870.0
2025-06-19 18:30:00+00:00,2108040.0
2025-06-19 18:00:00+00:00,3003130.0
2025-06-19 17:30:00+00:00,3986290.0
2025-06-19 17:00:00+00:00,5163170.0
2025-06-19 16:30:00+00:00,6480500.0
2025-06-19 16:00:00+00:00,7664570.0
2025-06-19 15:30:00+00:00,8860150.0
2025-06-19 15:00:00+00:00,9891420.0
2025-06-19 14:30:00+00:00,10814200.0
2025-06-19 14:00:00+00:00,11502300.0
2025-06-19 13:30:00+00:00,12109000.0
2025-06-19 13:00:00+00:00,12443900.0
2025-06-19 12:30:00+00:00,12583200.0
2025-06-19 12:00:00+00:00,12640400.0
2025-06-19 11:30:00+00:00,12378300.0
2025-06-19 11:00:00+00:00,12049100.0
2025-06-19 10:30:00+00:00,11460000.0
2025-06-19 10:00:00+00:00,10669100.0
2025-06-19 09:30:00+00:00,9719190.0
2025-06-19 09:00:00+00:00,8636340.0
2025-06-19 08:30:00+00:00,7439190.0
2025-06-19 08:00:00+00:00,6147130.0
2025-06-19 07:30:00+00:00,4910260.0
2025-06-19 07:00:00+00:00,3780260.0
2025-06-19 06:30:00+00:00,2744140.0
